name,category,role,tags,link
CALP Network,Think tank / coordinator,"Global CVA standards & learning network; convenes donors, NGOs and DFS providers on cash programming best practices",CVA|standards|advocacy,https://www.calpnetwork.org
Anticipatory Action Hub,Think tank / coordinator,"Global learning platform for anticipatory action; connects EAP practitioners, data providers and funders",AA|EAP|learning,https://www.anticipatoryhub.org
Centre for Disaster Protection,Think tank / coordinator,UK advisory body on DRF instrument design; FCDO partner; contributed to IFRC-DREF insurance framework,advisory|FCDO|DRF,https://www.disasterprotection.org
Global Shield Solutions Platform,Donor / funder,"G7-backed initiative launched COP27 (2022); coordinates expansion of climate risk insurance and social protection from ~500M to 4B people by 2030; brings together V20 vulnerable countries, G7 donors, insurers and MDBs; politically anchors the premium subsidy rationale central to CCHB; Senegal submitted 2025 Request for Support to fill meso-level protection gaps (MSMEs, cooperatives, agropastoral households)",G7|V20|climate insurance|InsuResilience|Senegal,https://www.globalshield.org
MCII,Think tank / coordinator,"Munich Climate Insurance Initiative; advocates for climate risk insurance as an adaptation tool for vulnerable countries; co-designed the InsuResilience Global Partnership framework; research on parametric insurance, basis risk, and the insurance protection gap in LDCs and SIDS — direct policy reference for CCHB design",climate insurance|advocacy|InsuResilience|LDC,https://climate-insurance.org
AFI — Alliance for Financial Inclusion,Think tank / coordinator,"Global network of 100+ central banks and financial regulators from developing and emerging economies; sets inclusive finance policy standards for mobile money and DFS regulation; AFI membership underpins the regulatory environment in CCHB target corridors (Haiti, Vanuatu, Zambia) — key stakeholder for MNO licensing and e-money policy alignment",financial inclusion|regulation|DFS|MNO|policy,https://www.afi-global.org
IIED,Think tank / coordinator,"International Institute for Environment and Development; research and policy on climate adaptation, loss and damage, and resilience finance for LDCs and SIDS; influential voice in UNFCCC negotiations on parametric insurance and DRF — generates the evidence base that justifies CCHB premium subsidy mandates",research|LDC|SIDS|L&D|adaptation,https://www.iied.org
LIFE-AR,Think tank / coordinator,Least Developed Countries Initiative for Effective Adaptation and Resilience; LDC-led platform coordinating climate adaptation priorities across 46 LDCs; advocates for direct LDC access to climate finance including parametric instruments; connects CCHB to LDC political constituency and national adaptation plan processes,LDC|adaptation|climate finance|UNFCCC,https://www.life-ar.net
WRI,Think tank / coordinator,"World Resources Institute; global research on climate resilience, disaster risk, and adaptation finance; produces flagship analysis on climate risk insurance gaps and the economics of anticipatory action — evidence base directly cited in CCHB design rationale",research|climate risk|adaptation|DRF,https://www.wri.org
CAN,Think tank / coordinator,"Climate Action Network; 1,900+ civil society organisations in 130+ countries; advocacy on loss and damage, adaptation finance and climate justice — shapes the political context within which CCHB donor mandates and L&D Fund are negotiated at UNFCCC COPs",civil society|advocacy|L&D|UNFCCC|COP,https://climatenetwork.org
USP2030 Climate WG,Think tank / coordinator,Universal Social Protection 2030 Climate Working Group (ILO/World Bank joint initiative); bridges social protection and climate adaptation — argues for parametric trigger-based cash transfers as climate-adaptive social protection; directly validates the CCHB model within the social protection policy community,ILO|social protection|climate|parametric|cash transfer,https://usp2030.org
Swiss SDC/FDFA,Donor / funder,Swiss development & foreign affairs; premium funder for parametric/cat bond humanitarian instruments; Geneva CCHB anchor bilateral,premium|bilateral|Geneva,https://www.eda.admin.ch/sdc
FCDO,Donor / funder,UK development; co-funded Jamaica cat bond premium; backs Centre for Disaster Protection; key CCHB premium partner,premium|Jamaica|bilateral,https://www.gov.uk/government/organisations/foreign-commonwealth-development-office
Wilsdorf Foundation,Donor / funder,Geneva private foundation (Rolex family); supports humanitarian innovation in the Geneva ecosystem,foundation|Geneva|philanthropy,https://hanswilsdorf.ch
IMS Foundation,Donor / funder,Impact-oriented foundation; supports humanitarian and DFS innovation,foundation|impact,https://www.imsfoundation.ch/en/
Twilio Impact Fund,Donor / funder,Tech-for-good fund; SMS/voice/data for nonprofits — relevant for USSD/MNO beneficiary registration in CCHB,tech|SMS|comms,https://www.twilio.org/en-us/support-and-resources/impact-fund
