name,color,description
Donor / funder,#EF9F27,"bilateral, foundation, premium payers, grants"
Think tank / coordinator,#378ADD,"standards, learning, CVA & AA advocacy"
Impact finance / blended,#639922,"blended tranches, SDG capital, impact AM, DFIs"
ILS investor,#AFA9EC,"provides ILS capital, absorbs principal-at-risk"
Cat bond / reinsurance,#888780,"capacity provider, risk carrier, treaty layer"
Parametric insurer,#1D9E75,"designs, underwrites & bears parametric risk"
Risk modeller / data trigger,#5DCAA5,"cat models, trigger indices, hazard verification"
Broker / structuring agent,#D4537E,"placement, deal structuring, advisory"
Blockchain / DeFi insurance,#BA7517,"on-chain parametric, smart contract, DeFi capital"
DFS / MNO / payment,#97C459,"last-mile wallet rails, aggregators, remittance"
CVA / field implementer,#D85A30,"beneficiary registration, cash delivery, EAP ops"
Data / analytics / tech,#185FA5,"IM, geospatial, early warning, comms infra"
UN — risk finance & DRF,#0F6E56,"sovereign risk pools, cat bond issuance, DRF"
UN — humanitarian operations,#085041,"field ops, CVA delivery, pooled humanitarian funds"
Precedent instrument,#9333EA,"documented CCHB-type mechanism — sovereign parametric pool, pooled fund, or trigger-based humanitarian payout already deployed at scale"
